"from","to","edge_type"
"STAT3","SLC26A6","tf_regulation"
"TEAD4","ZDHHC5","tf_regulation"
"MXI1","CALM1","tf_regulation"
"ESRRB","CLEC11A","tf_regulation"
"GATA1","HERC4","tf_regulation"
"AR","FILIP1","receptor_regulation"
"MYC","LPIN1","tf_regulation"
"USF1","FAM83C","tf_regulation"
"MEF2D","C5","tf_regulation"
"HSF1","TREX1","tf_regulation"
"LEF1","PCDH11Y","tf_regulation"
"PITX2","EVA1B","tf_regulation"
"JUN","HLA-DQA1","tf_regulation"
"TCF12","SAV1","tf_regulation"
"CTCF","RBMXL2","tf_regulation"
"FOXC1","PCDHGA10","tf_regulation"
"AHR","IGF1R","tf_regulation"
"NFE2","DHRS3","tf_regulation"
"RELA","TCP11","tf_regulation"
"E2F1","PAK1IP1","tf_regulation"
"SPIB","MMP11","tf_regulation"
"KLF4","TP53","tf_regulation"
"MAX","HNRNPC","tf_regulation"
"EGR1","TBCD","tf_regulation"
"FOXP2","EFHD1","tf_regulation"
"NFYA","ARF6","tf_regulation"
"CEBPD","TRIM6","tf_regulation"
"ATF2","GJB6","tf_regulation"
"RUNX3","BRCA2","tf_regulation"
"RUNX3","SLC29A2","tf_regulation"
"FOXP2","TMEM92","tf_regulation"
"MXI1","NEFL","tf_regulation"
"USF1","CDK20","tf_regulation"
"E2F4","IRF2BPL","tf_regulation"
"SREBF1","RNF168","tf_regulation"
"STAT5A","CENPU","tf_regulation"
"TCF7L2","SLC41A1","tf_regulation"
"GATA2","SMAP1","tf_regulation"
"STAT5A","CSN2","tf_regulation"
"NRL","RS1","tf_regulation"
"KDM5B","ELAC1","tf_regulation"
"FLI1","METTL23","tf_regulation"
"USF2","RBMY1E","tf_regulation"
"FLI1","SCAF1","tf_regulation"
"E2F6","ZNF619","tf_regulation"
"GABPA","FOSL1","tf_regulation"
"JUND","KNSTRN","tf_regulation"
"PAX5","MIR3199-2","tf_regulation"
"MAFA","LOC148709","tf_regulation"
"TEAD4","UPF3A","tf_regulation"
"NFIC","OCIAD1","tf_regulation"
"YY1","TOLLIP","tf_regulation"
"CTCFL","DYM","tf_regulation"
"MAZ","FOXN3","tf_regulation"
"KLF4","RPLP2","tf_regulation"
"TCF7L2","PXN-AS1","tf_regulation"
"SOX10","NR5A2","tf_regulation"
"YY1","ST6GALNAC5","tf_regulation"
"CEBPB","SMC2","tf_regulation"
"TP53","SNORA28","tf_regulation"
"FOS","PRKAG3","tf_regulation"
"NR2F2","GOLT1A","tf_regulation"
"TBP","NIPAL1","tf_regulation"
"JUN","CTDP1","tf_regulation"
"JUN","S100A13","tf_regulation"
"SETDB1","GOPC","tf_regulation"
"YY1","SLCO2B1","tf_regulation"
"ZNF750","HECTD3","tf_regulation"
"RUNX1","NRF1","tf_regulation"
"ESR2","FGF3","receptor_regulation"
"ESR1","LINC01094","receptor_regulation"
"TBP","SH3KBP1","tf_regulation"
"REST","ING3","tf_regulation"
"ETS1","WBP4","tf_regulation"
"ALK","KRT77","receptor_regulation"
"CEBPD","LINC00114","tf_regulation"
"YBX1","HOXA2","tf_regulation"
"NR2F2","HIST1H1D","tf_regulation"
"NR2F2","ASIC4","tf_regulation"
"DMRT1","FAM216A","tf_regulation"
"FOXC1","TRAK1","tf_regulation"
"TCF3","EXD3","tf_regulation"
"NFE2L2","GAPDH","tf_regulation"
"ARNT","ATP2A2","tf_regulation"
"TAL1","PTPRE","tf_regulation"
"JUND","SLC22A11","tf_regulation"
"SREBF1","RSPH10B2","tf_regulation"
"PLAGL2","IRS2","tf_regulation"
"RUNX1","TTYH3","tf_regulation"
"IRF3","MRPS18C","tf_regulation"
"KDM5B","BBX","tf_regulation"
"ELK1","NUBPL","tf_regulation"
"TEAD4","FOXG1","tf_regulation"
"MEF2C","LOC100130950","tf_regulation"
"IRF1","ENOSF1","tf_regulation"
"ELF5","PLEKHA6","tf_regulation"
"STAT1","COL8A2","tf_regulation"
"MYC","SDK1","tf_regulation"
"USF1","ZNF567","tf_regulation"
"E2F6","SLC25A17","tf_regulation"
"FOXQ1","ETV5","tf_regulation"
"HES3","TAZ","tf_regulation"
"TP63","GRIP2","tf_regulation"
"TCF7","CTTN","tf_regulation"
"TBP","TRIB3","tf_regulation"
"HOXD9","CCNH","tf_regulation"
"CREB1","DPH3","tf_regulation"
"CTCFL","SEMA4C","tf_regulation"
"FOSL1","NFE2L1","tf_regulation"
"FOXP2","MIR550A1","tf_regulation"
"HSF1","MTERF3","tf_regulation"
"TCF7L2","USP40","tf_regulation"
"PGR","CACNG1","receptor_regulation"
"MYC","LEPROTL1","tf_regulation"
"NR3C1","MIR221","tf_regulation"
"SP1","CDC42SE1","tf_regulation"
"ZNF143","SCRG1","tf_regulation"
"NFIC","NME3","tf_regulation"
"MYBL2","CNTROB","tf_regulation"
"STAT3","COPS2","tf_regulation"
"KLF13","NCS1","tf_regulation"
"MAX","YTHDF1","tf_regulation"
"NR2F2","MEX3A","tf_regulation"
"ATF4","OLR1","tf_regulation"
"MAX","ZNF12","tf_regulation"
"NRF1","SLC9A3R1","tf_regulation"
"SETDB1","SGSM3","tf_regulation"
"ZNF263","RIOK1","tf_regulation"
"LEF1","HBA2","tf_regulation"
"GABPA","DDX18","tf_regulation"
"USF1","TRMT1","tf_regulation"
"USF2","MRPL54","tf_regulation"
"WT1","VDAC1","tf_regulation"
"TAL1","KAT7","tf_regulation"
"RELA","PGM1","tf_regulation"
"NANOG","ASF1B","tf_regulation"
"E2F1","ZNF503","tf_regulation"
"GABPA","MST1R","tf_regulation"
"CEBPB","FBXL13","tf_regulation"
"SRF","AIF1L","tf_regulation"
"ESR1","EEF1G","receptor_regulation"
"HOXB4","CD69","tf_regulation"
"TCF3","FAM71B","tf_regulation"
"TEAD2","ELF4","tf_regulation"
"PDGFRA","ATG2A","receptor_regulation"
"HSF1","PBLD","tf_regulation"
"KDM5B","PTGER3","tf_regulation"
"HSF1","FSTL1","tf_regulation"
"EPHB2","MFN1","receptor_regulation"
"NFYC","SIAH3","tf_regulation"
"MXI1","LINC00494","tf_regulation"
"PCGF2","TAF12","tf_regulation"
"JUND","INTS12","tf_regulation"
"KDM5B","GDF6","tf_regulation"
"RUNX3","JMJD1C","tf_regulation"
"POU2F2","TLCD1","tf_regulation"
"CREM","MYB","tf_regulation"
"NRF1","ZNF2","tf_regulation"
"HMGN3","ING3","tf_regulation"
"SPI1","FAM71F1","tf_regulation"
"E2F1","MRPL3","tf_regulation"
"MYC","JAGN1","tf_regulation"
"MEF2A","SKAP2","tf_regulation"
"RFX5","SNX20","tf_regulation"
"STAT1","CBLL1","tf_regulation"
"FOXO3","TCEA1","tf_regulation"
"PPARG","AMOTL1","tf_regulation"
"SP1","BZW2","tf_regulation"
"ETS1","NR1D2","tf_regulation"
"ELK1","PLXDC2","tf_regulation"
"ATF2","DDX28","tf_regulation"
"MITF","TLCD1","tf_regulation"
"FOXA1","CEP120","tf_regulation"
"MAX","TRIM9","tf_regulation"
"E2F1","RBFOX1","tf_regulation"
"E2F1","UBA1","tf_regulation"
"GFI1B","CD36","tf_regulation"
"BACH1","MIR485","tf_regulation"
"NFKB1","SAMD1","tf_regulation"
"SP1","HOXA4","tf_regulation"
"ZNF76","ZNF233","tf_regulation"
"JUN","MAP1A","tf_regulation"
"PPARG","ACAA1","tf_regulation"
"ATF2","ORAI2","tf_regulation"
"PRDM14","POLR2J","tf_regulation"
"YY1","RLN1","tf_regulation"
"STAT3","OXNAD1","tf_regulation"
"GATA1","THEM4","tf_regulation"
"MYC","ARID3A","tf_regulation"
"TBP","RABGAP1L","tf_regulation"
"TEAD4","BASP1","tf_regulation"
"CDX2","COL13A1","tf_regulation"
"GABPA","SEPT8","tf_regulation"
"ELK1","FDX1","tf_regulation"
"KLF1","ATP2B4","tf_regulation"
"TCF7L2","ALYREF","tf_regulation"
"E2F1","PPM1B","tf_regulation"
"E2F4","KRT23","tf_regulation"
"GATA2","OSBP2","tf_regulation"
"ZNF354C","ALOX12","tf_regulation"
"ZBTB33","MED11","tf_regulation"
"NFE2L2","PODXL2","tf_regulation"
"GATA2","SCAP","tf_regulation"
"NFYA","NAT6","tf_regulation"
"SRF","BCKDHB","tf_regulation"
"SP3","BAAT","tf_regulation"
"CREB1","SOBP","tf_regulation"
"ZNF263","KLHL22","tf_regulation"
"NR2C2","PHKB","tf_regulation"
"ERG","SKP1","tf_regulation"
"ZBTB16","KCNH5","tf_regulation"
"FLT4","H3F3B","receptor_regulation"
"NFE2","INO80E","tf_regulation"
"E2F4","APOD","tf_regulation"
"MYC","KLF11","tf_regulation"
"GABPA","SLC35A4","tf_regulation"
"ERBB2","GALNT1","receptor_regulation"
"TCF3","NETO2","tf_regulation"
"GATA1","C19orf44","tf_regulation"
"MYB","TRIM27","tf_regulation"
"ATF1","HIST1H2AK","tf_regulation"
"TCF3","MIR633","tf_regulation"
"FOXO3","CWC25","tf_regulation"
"CREM","ARV1","tf_regulation"
"MEF2A","ZNF76","tf_regulation"
"FLI1","ATP6V1F","tf_regulation"
"NFKB1","NDUFAF3","tf_regulation"
"GATA3","CLIC5","tf_regulation"
"STAT3","SSR3","tf_regulation"
"MAX","RPL39L","tf_regulation"
"MYOD1","SERPINF1","tf_regulation"
"WT1","PRKAR1A","tf_regulation"
"SP1","SAMD10","tf_regulation"
"SPI1","RNF20","tf_regulation"
"HES3","ACTR6","tf_regulation"
"ETS1","ID3","tf_regulation"
"ZBTB7A","POTEKP","tf_regulation"
"IRF8","DBF4B","tf_regulation"
"JUN","BTG2","tf_regulation"
"YY1","SIRT2","tf_regulation"
"TEAD4","FAM50B","tf_regulation"
"RELA","TEC","tf_regulation"
"SMAD3","LEFTY2","tf_regulation"
"NFATC1","MYL5","tf_regulation"
"LHX8","MS4A1","tf_regulation"
"PBX1","PLEKHA6","tf_regulation"
"ELK1","PHLDA1","tf_regulation"
"CTCFL","ADRM1","tf_regulation"
"MYOG","PPHLN1","tf_regulation"
"FOXM1","ANKRD46","tf_regulation"
"SOX9","MXD3","tf_regulation"
"ZEB1","MTUS1","tf_regulation"
"FOXA1","CCDC34","tf_regulation"
"POU2F2","MIR7-3HG","tf_regulation"
"ZKSCAN1","ADCK1","tf_regulation"
"ZBTB7A","EIF6","tf_regulation"
"PCGF2","STK17B","tf_regulation"
"GATA1","STK17A","tf_regulation"
"ZNF217","ACOXL","tf_regulation"
"ZNF143","XPOT","tf_regulation"
"ETS2","INTS5","tf_regulation"
"RUNX1","RSPO2","tf_regulation"
"RORA","TRAPPC2","tf_regulation"
"JUN","TTI2","tf_regulation"
"MEF2A","LIFR","tf_regulation"
"ZEB1","TMEM183A","tf_regulation"
"SRF","MITD1","tf_regulation"
"ATF3","TAGLN2","tf_regulation"
"SP3","TUBB4B","tf_regulation"
"HNF1B","GLUL","tf_regulation"
"HOXB4","ZMYM2","tf_regulation"
"CTCF","H2AFX","tf_regulation"
"E2F4","DFFB","tf_regulation"
"CEBPB","ZNF25","tf_regulation"
"TFAP2C","MIR4674","tf_regulation"
"NFIC","HARS2","tf_regulation"
"RUNX3","SKIL","tf_regulation"
"LEF1","CNN3","tf_regulation"
"EBF1","SMARCA5","tf_regulation"
"PBX3","FOXK2","tf_regulation"
"MYC","MXD3","tf_regulation"
"MXI1","DDX10","tf_regulation"
"RFX5","GFOD1","tf_regulation"
"CUX1","UIMC1","tf_regulation"
"SPI1","FCGR2C","tf_regulation"
"NFATC1","MIR3655","tf_regulation"
"NRF1","USP11","tf_regulation"
"E2F6","SRRT","tf_regulation"
"PDGFRA","HNRNPK","receptor_regulation"
"HNF4A","CTSF","tf_regulation"
"NR1H3","GNRHR2","tf_regulation"
"MAZ","NDUFAF1","tf_regulation"
"FLI1","RPLP1","tf_regulation"
"HES3","ZNF518A","tf_regulation"
"CTCF","DNTTIP2","tf_regulation"
"SRF","FSD2","tf_regulation"
"MAX","ORC5","tf_regulation"
"GATA1","CD93","tf_regulation"
"NFE2L2","SERPINF1","tf_regulation"
"NR2C2","SEL1L3","tf_regulation"
"MZF1","CD244","tf_regulation"
"PCGF2","RANBP10","tf_regulation"
"SNAI1","ARRDC1","tf_regulation"
"MSX1","MITF","tf_regulation"
"ZNF143","KLHDC7A","tf_regulation"
"POU5F1","CITED4","tf_regulation"
"FOXP2","PROP1","tf_regulation"
"ATF2","NFE2L1","tf_regulation"
"NR1H3","CYP2S1","tf_regulation"
"ARNT","GAK","tf_regulation"
"REST","CAMK1G","tf_regulation"
"ZZZ3","FGF7","tf_regulation"
"FLI1","FAM104A","tf_regulation"
"CREB1","UBE2QL1","tf_regulation"
"SOX2","DUSP12","tf_regulation"
"TCF7L2","RAB33A","tf_regulation"
"POU5F1","UBA2","tf_regulation"
"BHLHE40","MSRA","tf_regulation"
"NFKB1","RAPGEF4","tf_regulation"
"ELF1","IKZF5","tf_regulation"
"ELK1","AGFG1","tf_regulation"
"SP1","DNAI1","tf_regulation"
"CTCF","RAP2A","tf_regulation"
"TBP","FSCB","tf_regulation"
"TP63","MCAT","tf_regulation"
"TEAD4","ZSWIM3","tf_regulation"
"NFKB2","DCAF5","tf_regulation"
"TCF7L2","ZNF836","tf_regulation"
"BACH1","BACH2","tf_regulation"
"JUN","SLC38A6","tf_regulation"
"ETS1","SRP9","tf_regulation"
"RBPJ","PMM2","tf_regulation"
"EBF1","HINT1","tf_regulation"
"MYC","MIR202","tf_regulation"
"RELA","PAK3","tf_regulation"
"SPI1","SEL1L3","tf_regulation"
"MYBL2","EOMES","tf_regulation"
"ELK1","KDM4C","tf_regulation"
"E2F6","KDM5A","tf_regulation"
"POU2F1","TRAK1","tf_regulation"
"ZFX","ZSCAN10","tf_regulation"
"GATA2","RSL24D1","tf_regulation"
"HNF4A","AZGP1P1","tf_regulation"
"NFATC1","SCYL1","tf_regulation"
"SMAD3","ASIC4","tf_regulation"
"NFATC1","TBX6","tf_regulation"
"REPIN1","ZNF513","tf_regulation"
"MEIS1","MAF","tf_regulation"
"NRF1","GOLGA2","tf_regulation"
"USF1","SERTAD1","tf_regulation"
"FOXO3","ANKH","tf_regulation"
"RUNX3","MSANTD4","tf_regulation"
"E2F1","ACO2","tf_regulation"
"TCF4","THAP1","tf_regulation"
"NKX2-1","ORMDL2","tf_regulation"
"REST","SS18L1","tf_regulation"
"ETV3","KIF21B","tf_regulation"
"KLF4","GPC1","tf_regulation"
"GATA4","NSUN2","tf_regulation"
"BATF","ANKRD20A4","tf_regulation"
"YY1","CTNND2","tf_regulation"
"CREB1","RPL27A","tf_regulation"
"REST","CCKBR","tf_regulation"
"CREB1","INSC","tf_regulation"
"ZNF143","ELOVL7","tf_regulation"
"ELK1","SEPT6","tf_regulation"
"GATA4","FOXA3","tf_regulation"
"NKX3-1","RPL41","tf_regulation"
"ZEB1","GRWD1","tf_regulation"
"E2F6","MIR212","tf_regulation"
"MAX","BRS3","tf_regulation"
"USF1","DGKH","tf_regulation"
"HIF1A","SEC23A","tf_regulation"
"KDM5B","AGK","tf_regulation"
"PBX1","NAP1L2","tf_regulation"
"USF2","PDCD2L","tf_regulation"
"FOXO4","C1QC","tf_regulation"
"FOSL2","AP1S1","tf_regulation"
"SP1","DAXX","tf_regulation"
"SP4","SF3B2","tf_regulation"
"STAT1","TCF3","tf_regulation"
"NR3C1","CCAR2","tf_regulation"
"TBP","HSD17B1","tf_regulation"
"MBD1","SMAD7","tf_regulation"
"E2F4","SGO1","tf_regulation"
"MAFF","TM4SF19-TCTEX1D2","tf_regulation"
"FOXF2","TRIB1","tf_regulation"
"CEBPD","POLG","tf_regulation"
"AR","WDR92","receptor_regulation"
"THAP1","MICAL1","tf_regulation"
"ETV4","TCEAL8","tf_regulation"
"PITX1","ATP6V1E1","tf_regulation"
"AR","CFH","receptor_regulation"
"ETS1","SNAP23","tf_regulation"
"REST","POLD4","tf_regulation"
"JUN","RAD51D","tf_regulation"
"TCF4","MAP1A","tf_regulation"
"FOXA2","H2AFJ","tf_regulation"
"LMX1B","FGF8","tf_regulation"
"ZBTB33","FAM72D","tf_regulation"
"MYC","LRRC36","tf_regulation"
"SIX5","BRAF","tf_regulation"
"TP63","RPL27","tf_regulation"
"NFIC","TNFRSF10D","tf_regulation"
"ESR1","PKP4","receptor_regulation"
"IRF3","CDCA2","tf_regulation"
"TFAP2C","BAG2","tf_regulation"
"FOXM1","MED16","tf_regulation"
"HSF1","FAM173B","tf_regulation"
"TFCP2","GLI1","tf_regulation"
"PBX3","THAP2","tf_regulation"
"MYOG","MAMSTR","tf_regulation"
"PDGFRA","PPHLN1","receptor_regulation"
"SRF","STXBP2","tf_regulation"
"NRF1","NUP155","tf_regulation"
"EGFR","ASH2L","receptor_regulation"
"RELA","FRG2C","tf_regulation"
"MAZ","G3BP1","tf_regulation"
"CSF1R","PPP2R5D","receptor_regulation"
"MYCN","USP36","tf_regulation"
"LTBR","EXOC6","receptor_regulation"
"POU5F1","LSR","tf_regulation"
"TCF3","TRMT11","tf_regulation"
"EGR1","FCER2","tf_regulation"
"MYC","GOLGA4","tf_regulation"
"HNF4A","FLYWCH2","tf_regulation"
"IRF3","CHRNB3","tf_regulation"
"TFAP2B","TSC22D4","tf_regulation"
"SREBF1","TMEM214","tf_regulation"
"BHLHE40","TMEM26","tf_regulation"
"TCF7L2","SETD6","tf_regulation"
"E2F6","SERHL","tf_regulation"
"TFAP2A","C8G","tf_regulation"
"FOXO3","ST3GAL4","tf_regulation"
"ATF4","ASXL3","tf_regulation"
"GATA2","FOXA1","tf_regulation"
"CUX1","FUK","tf_regulation"
"PPARG","IDI1","tf_regulation"
"KLF4","PFKP","tf_regulation"
"MAFF","OR5J2","tf_regulation"
"EBF1","OR7D4","tf_regulation"
"MYOD1","SMAGP","tf_regulation"
"CTCF","MIR133A2","tf_regulation"
"NFATC1","CIAPIN1","tf_regulation"
"RELA","MIR3909","tf_regulation"
"E2F4","TEX30","tf_regulation"
"HSF1","C2orf72","tf_regulation"
"TBP","BBS10","tf_regulation"
"YY1","CSNK1A1","tf_regulation"
"FOXA1","RBM17","tf_regulation"
"TEF","ATXN1","tf_regulation"
"GATA4","DOK7","tf_regulation"
"NFIC","TAF4B","tf_regulation"
"IRF7","ELMO1","tf_regulation"
"EGFR","FGFR1OP","receptor_regulation"
"CTCF","MOB3B","tf_regulation"
"CUX1","DUSP1","tf_regulation"
"KLF4","CD151","tf_regulation"
"ELF1","NBAS","tf_regulation"
"SOX10","NDE1","tf_regulation"
"ELK4","AGPS","tf_regulation"
"MECOM","MEIS2","tf_regulation"
"NR3C1","EDEM3","tf_regulation"
"FOXA1","SRSF5","tf_regulation"
"PBX3","ADNP2","tf_regulation"
"FOXP1","ZBTB32","tf_regulation"
"STAT3","SLC35D3","tf_regulation"
"CTCF","MIR4781","tf_regulation"
"PPARA","G6PC","tf_regulation"
"SREBF1","DYRK1B","tf_regulation"
"TP63","GAS6-AS1","tf_regulation"
"RELA","RNF145","tf_regulation"
"STAT5A","CD9","tf_regulation"
"MXD1","PTEN","tf_regulation"
"HNF1B","METTL17","tf_regulation"
"ESR1","PCDH18","receptor_regulation"
"SREBF1","LDLR","tf_regulation"
"TP63","RARB","tf_regulation"
"CREM","ZBTB9","tf_regulation"
"PPARG","PKP4","tf_regulation"
"ETS1","KLF13","tf_regulation"
"MAZ","FBXL21","tf_regulation"
"GATA4","FAM131B","tf_regulation"
"CTCFL","DPCR1","tf_regulation"
"ZNF143","ZC3H14","tf_regulation"
"PLAGL2","ASPM","tf_regulation"
"EBF1","TAC4","tf_regulation"
"NFYA","REC8","tf_regulation"
"WT1","PAQR6","tf_regulation"
"GATA3","THAP10","tf_regulation"
"TFAP2C","PSME4","tf_regulation"
"STAT1","SYT12","tf_regulation"
"HNF4A","PYCARD","tf_regulation"
"REST","SLC37A2","tf_regulation"
"YY1","ZNF30","tf_regulation"
"ZBTB7A","NRBP2","tf_regulation"
"FOXP2","ADCY9","tf_regulation"
"FOSL1","IKZF3","tf_regulation"
"PAX5","PRDX2","tf_regulation"
"ESR1","SCAMP4","receptor_regulation"
"ZFPM2","PIGV","tf_regulation"
"ETS1","FAM124B","tf_regulation"
"STAT1","ANXA2R","tf_regulation"
"PRDM14","DNASE1","tf_regulation"
"TP53","SLC17A5","tf_regulation"
"MAZ","ORC2","tf_regulation"
"ELF1","SNAP47","tf_regulation"
"CEBPD","MNAT1","tf_regulation"
