"from","to","edge_type"
"L1CAM","L1CAM","undirectional"
"NECTIN1","NECTIN1","undirectional"
"CDH1","CDH1","undirectional"
"CDH4","CDH4","undirectional"
"ALCAM","CD6","undirectional"
"PTPRC","CD22","directional"
"CD40","CD40LG","undirectional"
"CLDN24","CLDN24","undirectional"
"OCLN","OCLN","undirectional"
"F11R","F11R","undirectional"
"JAM2","JAM2","undirectional"
"JAM3","JAM2","undirectional"
"JAM2","JAM3","undirectional"
"JAM3","JAM3","undirectional"
"ESAM","ESAM","undirectional"
"CDH5","CDH5","undirectional"
"CD99","CD99","undirectional"
"JAM3","ITGB2","undirectional"
"JAM3","ITGAM","undirectional"
"SELP","SELPLG","undirectional"
"ICAM2","ITGB2","undirectional"
"ICAM2","ITGAL","directional"
"F11R","ITGB2","undirectional"
"F11R","ITGAL","undirectional"
"ICAM3","ITGB2","directional"
"ICAM3","ITGAL","directional"
"ICAM2","ITGAM","undirectional"
"JAM2","ITGB1","undirectional"
"JAM2","ITGA4","undirectional"
"VCAM1","ITGB7","directional"
"VCAM1","ITGA4","undirectional"
"MADCAM1","ITGB7","undirectional"
"MADCAM1","ITGA4","undirectional"
"SELL","MADCAM1","directional"
"CD34","SELL","undirectional"
"SELE","GLG1","directional"
"NECTIN3","NECTIN1","undirectional"
"L1CAM","NCAM1","undirectional"
"CADM1","CADM1","undirectional"
"NEGR1","NEGR1","undirectional"
"CADM3","CADM3","undirectional"
"PTPRM","PTPRM","undirectional"
"CNTN2","CNTN2","undirectional"
"CNTN2","L1CAM","undirectional"
"NFASC","CNTNAP1","directional"
"NFASC","CNTN1","undirectional"
"CNTN2","CNTNAP2","directional"
"MPZ","MPZ","undirectional"
"MAG","MAG","undirectional"
"CLDN11","CLDN11","undirectional"
"NECTIN2","NECTIN3","directional"
"CDH3","CDH3","undirectional"
"CDH15","CDH15","undirectional"
"CD80","CD274","undirectional"
"PVR","TIGIT","undirectional"
"NECTIN2","TIGIT","undirectional"
"CD274","CD80","undirectional"
"NECTIN3","TIGIT","undirectional"
"F11R","JAM2","undirectional"
"F11R","JAM3","directional"
"LRRC4C","NTNG1","undirectional"
"LRRC4","NTNG2","directional"
"LRRC4B","PTPRF","directional"
"CTSG","F2R","directional"
"CGA","FSHR","directional"
"CGA","LHCGR","directional"
"CGA","TSHR","directional"
"CSH1","GHR","directional"
"COL1A1","ITGB1","directional"
"COL1A1","ITGA1","directional"
"LAMC3","ITGB1","directional"
"LAMC3","ITGA1","directional"
"COL1A1","ITGA2","directional"
"LAMC3","ITGA2","directional"
"CHAD","ITGA2","directional"
"CHAD","ITGB1","directional"
"LAMC3","ITGA3","directional"
"RELN","ITGA3","directional"
"RELN","ITGB1","directional"
"COMP","ITGA3","directional"
"COMP","ITGB1","directional"
"COL1A1","ITGA3","directional"
"FN1","ITGA3","directional"
"FN1","ITGB1","directional"
"FN1","ITGA4","directional"
"SPP1","ITGA4","directional"
"SPP1","ITGB1","directional"
"FN1","ITGA5","directional"
"LAMC3","ITGA6","directional"
"LAMC3","ITGA7","directional"
"FN1","ITGA8","directional"
"VTN","ITGB1","undirectional"
"VTN","ITGA8","directional"
"TNC","ITGB1","directional"
"TNC","ITGA8","directional"
"TNC","ITGA9","directional"
"SPP1","ITGA9","directional"
"COL1A1","ITGA9","directional"
"LAMC3","ITGA9","directional"
"COL1A1","ITGA10","directional"
"COL1A1","ITGA11","directional"
"FN1","ITGAV","directional"
"SPP1","ITGAV","directional"
"VTN","ITGAV","directional"
"FN1","ITGB7","directional"
"VTN","ITGB3","directional"
"FN1","ITGB3","directional"
"VWF","ITGAV","directional"
"VWF","ITGB3","directional"
"SPP1","ITGB3","directional"
"TNC","ITGAV","directional"
"TNC","ITGB3","directional"
"IBSP","ITGAV","directional"
"IBSP","ITGB3","directional"
"COMP","ITGAV","directional"
"COMP","ITGB3","directional"
"VTN","ITGA2B","directional"
"FN1","ITGA2B","directional"
"VWF","ITGA2B","directional"
"COMP","ITGA2B","directional"
"VTN","ITGB5","directional"
"IBSP","ITGB5","directional"
"SPP1","ITGB5","directional"
"FN1","ITGB6","directional"
"TNC","ITGB6","directional"
"COL1A1","ITGAV","directional"
"COL1A1","ITGB8","directional"
"FN1","ITGB8","directional"
"LAMC3","ITGAV","directional"
"LAMC3","ITGB8","directional"
"VTN","ITGB8","directional"
"LAMC3","ITGB4","directional"
"COL1A1","CD44","directional"
"FN1","CD44","directional"
"LAMC3","CD44","directional"
"COL1A1","SDC1","directional"
"FN1","SDC1","directional"
"COMP","SDC1","directional"
"TNC","SDC1","directional"
"LAMC3","SV2C","directional"
"COMP","CD36","directional"
"VWF","GP9","directional"
"VWF","GP1BB","directional"
"VWF","GP1BA","directional"
"VWF","GP5","directional"
"COL1A1","GP6","directional"
"LAMC3","DAG1","directional"
"AGRN","DAG1","directional"
"HSPG2","DAG1","directional"
"COMP","CD47","directional"
"C3","C3AR1","directional"
"ADM2","CALCR","directional"
"CALCB","CALCR","directional"
"IAPP","CALCR","directional"
"CALCA","CALCR","directional"
"ADM","MRGPRX2","directional"
"ADM","GPR182","directional"
"ADM","CALCR","directional"
"CORT","SSTR1","directional"
"CORT","SSTR4","directional"
"CORT","SSTR5","directional"
"CORT","SSTR3","directional"
"CORT","SSTR2","directional"
"CORT","MRGPRX2","directional"
"SST","SSTR1","directional"
"SST","SSTR4","directional"
"SST","SSTR5","directional"
"SST","SSTR3","directional"
"SST","SSTR2","directional"
"RSPO1","LGR4","directional"
"RSPO1","LGR6","directional"
"RSPO1","LGR5","directional"
"RSPO4","LGR4","directional"
"RSPO4","LGR6","directional"
"RSPO4","LGR5","directional"
"RSPO3","LGR4","directional"
"RSPO3","LGR6","directional"
"RSPO3","LGR5","directional"
"RSPO2","LGR4","directional"
"RSPO2","LGR6","directional"
"RSPO2","LGR5","directional"
"CALM1","CNGA2","directional"
"CALM1","PDE1C","directional"
"CALM1","PDE1B","directional"
"CALM1","KCNH1","directional"
"CALM1","MYLK","directional"
"CALM1","MYLK2","directional"
"CALM1","PDE1A","directional"
"CALM3","CNGA2","directional"
"CALM3","PDE1C","directional"
"CALM3","PDE1B","directional"
"CALM3","KCNH1","directional"
"CALM3","MYLK","directional"
"CALM3","MYLK2","directional"
"CALM3","PDE1A","directional"
"CALM2","CNGA2","directional"
"CALM2","PDE1C","directional"
"CALM2","PDE1B","directional"
"CALM2","KCNH1","directional"
"CALM2","MYLK","directional"
"CALM2","MYLK2","directional"
"CALM2","PDE1A","directional"
"INSL3","RXFP2","directional"
"RLN1","RXFP1","directional"
"RLN1","RXFP2","directional"
"RLN2","RXFP1","directional"
"RLN2","RXFP2","directional"
"RLN3","RXFP3","directional"
"RLN3","RXFP4","directional"
"RLN3","RXFP1","directional"
"RLN3","RXFP2","directional"
"INSL5","RXFP3","directional"
"INSL5","RXFP4","directional"
"RARRES2","CMKLR1","directional"
"RARRES2","GPR1","directional"
"QRFP","QRFPR","directional"
"ALOX5AP","ALOX5","directional"
"APLN","APLNR","directional"
"LHB","LHCGR","directional"
"TSHB","TSHR","directional"
"FSHB","FSHR","directional"
"ANXA1","FPR1","directional"
"ANXA1","FPR3","directional"
"ANXA1","FPR2","directional"
"HEBP1","FPR3","directional"
"HEBP1","FPR2","directional"
"CAMP","FPR2","directional"
"SAA1","FPR2","directional"
"APP","FPR2","directional"
"CXCL1","CXCR1","directional"
"YARS","CXCR1","directional"
"RPS19","C5AR1","directional"
"C5","C5AR1","directional"
"C5","C5AR2","directional"
"CCL19","CXCR3","directional"
"CCL19","CCRL2","directional"
"CCL19","ACKR4","directional"
"CCL21","ACKR4","directional"
"CCL25","ACKR4","directional"
"DEFB4A","CCR6","directional"
"DEFB4B","CCR6","directional"
"CCL20","CXCR3","directional"
"CXCL12","CXCR3","directional"
"CXCL11","CCR3","directional"
"CXCL9","CCR3","directional"
"CXCL10","CCR3","directional"
"CCL5","GPR75","directional"
"CCL5","CXCR3","directional"
"CCL8","CCR8","directional"
"CCL8","CCR1","directional"
"CCL8","CCR5","directional"
"CCL8","CCR2","directional"
"CCL13","CCR1","directional"
"CCL13","CCR5","directional"
"CCL13","CXCR3","directional"
"CCL7","CCR5","directional"
"CCL7","CCR3","directional"
"CCL7","CXCR3","directional"
"CCL11","CCR5","directional"
"CCL11","CCR2","directional"
"CCL11","CXCR3","directional"
"CCL24","CCR2","directional"
"CCL26","CCR2","directional"
"CCL2","CCR5","directional"
"CCL2","CCR3","directional"
"CCL16","HRH4","directional"
"CCL16","CCR5","directional"
"CCL16","CCR2","directional"
"CCL14","CCR5","directional"
"CCL4","CCR1","directional"
"CCL4","CCR5","directional"
"CCL3","CCR1","directional"
"CCL3","CCR5","directional"
"CSF3","CSF1R","directional"
"CSF2","CSF1R","directional"
"ANGPT4","TEK","directional"
"ANGPT1","TEK","directional"
"EDN2","EDNRA","directional"
"EDN1","EDNRA","directional"
"EDN3","EDNRB","directional"
"GALP","GALR1","directional"
"GALP","GALR3","directional"
"GALP","GALR2","directional"
"GAL","GALR1","directional"
"GAL","GALR3","directional"
"GAL","GALR2","directional"
"GAST","CCKAR","directional"
"GAST","CCKBR","directional"
"CCK","CCKAR","directional"
"CCK","CCKBR","directional"
"GCG","GCGR","directional"
"GCG","GLP2R","directional"
"GCG","GLP1R","directional"
"GHRL","GHSR","directional"
"GIP","GIPR","directional"
"GNRH2","GNRHR","directional"
"GNRH1","GNRHR","directional"
"HCRT","HCRTR1","directional"
"HCRT","HCRTR2","directional"
"IGF2","IGF1R","directional"
"IGF1","TRPV2","directional"
"IGF1","IGF1R","directional"
"INS","INSR","directional"
"KISS1","KISS1R","directional"
"KNG1","BDKRB1","directional"
"KNG1","BDKRB2","directional"
"MLN","MLNR","directional"
"MST1","MST1R","directional"
"NDP","FZD4","directional"
"NMB","GRPR","directional"
"NMB","NMBR","directional"
"GRP","GRPR","directional"
"GRP","NMBR","directional"
"NMU","NMUR1","directional"
"NMU","NMUR2","directional"
"NMS","NMUR1","directional"
"NMS","NMUR2","directional"
"NPPC","NPR2","directional"
"NPS","NPSR1","directional"
"NPW","NPBWR1","directional"
"NPW","NPBWR2","directional"
"NPB","NPBWR1","directional"
"NPB","NPBWR2","directional"
"NTF3","NGFR","directional"
"NTF3","NTRK3","directional"
"NGF","NGFR","directional"
"NTF4","NGFR","directional"
"BDNF","NGFR","directional"
"NTS","NTSR1","directional"
"NTS","NTSR2","directional"
"COPA","NTSR2","directional"
"OSTN","NPR3","directional"
"OXT","AVPR2","directional"
"OXT","AVPR1B","directional"
"OXT","OXTR","directional"
"OXT","AVPR1A","directional"
"AVP","AVPR2","directional"
"AVP","AVPR1B","directional"
"AVP","OXTR","directional"
"AVP","AVPR1A","directional"
"PMCH","MCHR1","directional"
"PMCH","MCHR2","directional"
"PNOC","OPRL1","directional"
"ARF1","PLD2","directional"
"NPPB","NPR1","directional"
"NPPA","NPR1","directional"
"CSH2","PRLR","directional"
"CSHL1","PRLR","directional"
"CSH1","PRLR","directional"
"PROK2","PROKR1","directional"
"PROK2","PROKR2","directional"
"PROK1","PROKR1","directional"
"PROK1","PROKR2","directional"
"PROS1","TYRO3","directional"
"PROS1","AXL","directional"
"GAS6","MERTK","directional"
"GAS6","TYRO3","directional"
"GAS6","AXL","directional"
"PSAP","GPR37","directional"
"PSAP","GPR37L1","directional"
"PTH2","PTH2R","directional"
"PTH2","PTH1R","directional"
"PTHLH","PRLHR","directional"
"PTHLH","PTH2R","directional"
"PTHLH","PTH1R","directional"
"PRLH","PRLHR","directional"
"NPY","NPY1R","directional"
"NPY","NPY5R","directional"
"NPY","NPY4R","directional"
"NPY","NPY2R","directional"
"NPY","PRLHR","directional"
"PYY","NPY1R","directional"
"PYY","NPY5R","directional"
"PYY","NPY4R","directional"
"PYY","NPY2R","directional"
"PPY","NPFFR1","directional"
"PPY","NPFFR2","directional"
"PPY","NPY1R","directional"
"PPY","NPY5R","directional"
"PPY","NPY4R","directional"
"NPVF","NPFFR1","directional"
"NPVF","NPFFR2","directional"
"NPFF","MAS1","directional"
"NPFF","NPFFR1","directional"
"NPFF","NPFFR2","directional"
"AGT","AGTR1","directional"
"AGT","AGTR2","directional"
"AGT","MAS1","directional"
"TAC3","TACR2","directional"
"TAC3","TACR3","directional"
"TAC3","TACR1","directional"
"TAC4","TACR2","directional"
"TAC4","TACR3","directional"
"TAC4","TACR1","directional"
"TAC1","TACR2","directional"
"TAC1","TACR3","directional"
"TAC1","TACR1","directional"
"BTLA","TNFRSF14","directional"
"TNFSF15","TNFRSF25","directional"
"TRH","TRHR","directional"
"NRG1","ERBB4","directional"
"NRG1","ERBB3","directional"
"NRG2","ERBB4","directional"
"NRG2","ERBB3","directional"
"NRG4","ERBB4","directional"
"NRG3","ERBB4","directional"
"BTC","EGFR","directional"
"BTC","ERBB4","directional"
"HBEGF","EGFR","directional"
"HBEGF","ERBB4","directional"
"EREG","EGFR","directional"
"EREG","ERBB4","directional"
"EPGN","EGFR","directional"
"TGFA","EGFR","directional"
"AREG","EGFR","directional"
"CRH","CRHR2","directional"
"CRH","CRHR1","directional"
"CRH","MC2R","directional"
"UCN2","CRHR2","directional"
"UCN2","CRHR1","directional"
"UCN","CRHR2","directional"
"UCN","CRHR1","directional"
"UCN3","CRHR2","directional"
"PENK","OPRD1","directional"
"PENK","OPRM1","directional"
"PENK","OPRK1","directional"
"PENK","MRGPRX1","directional"
"PDYN","OPRD1","directional"
"PDYN","OPRM1","directional"
"PDYN","OPRK1","directional"
"POMC","MC2R","directional"
"POMC","MC1R","directional"
"POMC","MC4R","directional"
"POMC","MC5R","directional"
"POMC","MC3R","directional"
"POMC","OPRD1","directional"
"POMC","OPRM1","directional"
"POMC","OPRK1","directional"
"ASIP","MC1R","directional"
"ASIP","MC4R","directional"
"ASIP","MC5R","directional"
"ASIP","MC3R","directional"
"AGRP","MC4R","directional"
"AGRP","MC5R","directional"
"AGRP","MC3R","directional"
"UTS2B","UTS2R","directional"
"UTS2","UTS2R","directional"
"PDGFC","KDR","directional"
"PDGFC","FLT4","directional"
"VEGFC","KDR","directional"
"VEGFC","FLT4","directional"
"SCT","SCTR","directional"
"SCT","ADCYAP1R1","directional"
"SCT","VIPR2","directional"
"SCT","VIPR1","directional"
"VIP","SCTR","directional"
"VIP","ADCYAP1R1","directional"
"VIP","VIPR2","directional"
"VIP","VIPR1","directional"
"ADCYAP1","ADCYAP1R1","directional"
"ADCYAP1","VIPR2","directional"
"ADCYAP1","VIPR1","directional"
"GHRH","VIPR1","directional"
"WNT4","FZD6","directional"
"WNT5A","FZD6","directional"
"WNT3A","FZD6","directional"
"A2M","LRP1","directional"
"AANAT","MTNR1A","directional"
"AANAT","MTNR1B","directional"
"ADAM12","ITGA9","directional"
"ADAM12","ITGB1","directional"
"ADAM12","SDC4","directional"
"ADAM15","ITGA5","directional"
"ADAM15","ITGA9","directional"
"ADAM15","ITGB1","directional"
"ADAM15","ITGB3","directional"
"ADAM17","ITGA5","directional"
"ADAM17","ITGB1","directional"
"ADAM23","ITGA5","directional"
"ADAM23","ITGB3","directional"
"ADAM2","ITGA6","directional"
"ADAM2","ITGB1","directional"
"ADAM9","ITGA6","directional"
"ADAM9","ITGAV","directional"
"ADAM9","ITGB1","directional"
"ADAM9","ITGB5","directional"
"ADIPOQ","ADIPOR1","directional"
"ADIPOQ","ADIPOR2","directional"
"ADM2","CALCRL","directional"
"ADM2","RAMP1","directional"
"ADM","CALCRL","directional"
"ADM","RAMP2","directional"
"AGRN","MUSK","directional"
"AGT","LRP2","directional"
"ANGPT1","TIE1","directional"
"ANGPT2","TEK","directional"
"ANGPTL1","TEK","directional"
"APOB","LDLR","directional"
"APOE","LDLR","directional"
"APOE","LRP5","directional"
"APOE","LRP8","directional"
"APOE","SORL1","directional"
"APOE","VLDLR","directional"
"ARTN","GFRA3","directional"
"ARTN","RET","directional"
"ASIP","ATRN","directional"
"ASIP","MGRN1","directional"
"BDNF","NTRK2","directional"
"BMP10","ACVR1","directional"
"BMP10","ACVR2A","directional"
"BMP10","ACVR2B","directional"
"BMP10","ACVRL1","directional"
"BMP10","BMPR1A","directional"
"BMP10","BMPR1B","directional"
"BMP10","BMPR2","directional"
"BMP15","ACVR1","directional"
"BMP15","ACVR2A","directional"
"BMP15","ACVR2B","directional"
"BMP15","BMPR1A","directional"
"BMP15","BMPR1B","directional"
"BMP15","BMPR2","directional"
"BMP2","ACVR2A","directional"
"BMP2","ACVR2B","directional"
"BMP3","ACVR1","directional"
"BMP3","ACVR2A","directional"
"BMP3","ACVR2B","directional"
"BMP3","BMPR1A","directional"
"BMP3","BMPR1B","directional"
"BMP3","BMPR2","directional"
"BMP4","ACVR1","directional"
"BMP4","ACVR2A","directional"
"BMP4","ACVR2B","directional"
"BMP4","BMPR1A","directional"
"BMP4","BMPR1B","directional"
"BMP4","BMPR2","directional"
"BMP5","ACVR1","directional"
"BMP5","ACVR2A","directional"
"BMP5","ACVR2B","directional"
"BMP5","BMPR1A","directional"
"BMP5","BMPR1B","directional"
"BMP5","BMPR2","directional"
"BMP6","ACVR1","directional"
"BMP6","ACVR2A","directional"
"BMP6","ACVR2B","directional"
"BMP6","BMPR1A","directional"
"BMP6","BMPR1B","directional"
"BMP6","BMPR2","directional"
"BMP7","ACVR1","directional"
"BMP7","ACVR2B","directional"
"BMP7","BMPR1A","directional"
"BMP7","BMPR2","directional"
"BMP8B","ACVR1","directional"
"BMP8B","ACVR2A","directional"
"BMP8B","ACVR2B","directional"
"BMP8B","BMPR1A","directional"
"BMP8B","BMPR1B","directional"
"BMP8B","BMPR2","directional"
"BTC","ERBB3","directional"
"C3","ITGAX","directional"
"C3","ITGB2","directional"
"C3","LRP1","directional"
"CALCA","CALCRL","directional"
"CALCA","RAMP1","directional"
"CALCB","CALCRL","directional"
"CALCB","RAMP1","directional"
"CALR","SCARF1","directional"
"CCL11","ACKR2","directional"
"CCL13","ACKR2","directional"
"CCL14","ACKR2","directional"
"CCL17","CCR8","directional"
"CCL21","CXCR3","directional"
"CCL2","ACKR2","directional"
"CCL2","CCR1","directional"
"CCL2","CCR4","directional"
"CCL4","ACKR2","directional"
"CCL4","CCR8","directional"
"CCL5","ACKR2","directional"
"CCL5","CCR4","directional"
"CCL7","ACKR2","directional"
"CCL8","ACKR2","directional"
"CD24","SELP","directional"
"CDH1","ITGAE","directional"
"CDH1","ITGB7","directional"
"CFH","SELL","directional"
"CLCF1","CRLF1","directional"
"CLEC11A","KIT","directional"
"COL18A1","GPC1","directional"
"COL18A1","ITGA5","directional"
"COL18A1","ITGB1","directional"
"COL1A1","DDR1","directional"
"COL1A1","DDR2","directional"
"COL2A1","ITGA10","directional"
"COL2A1","ITGA2","directional"
"COL2A1","ITGB1","directional"
"COL4A1","ITGA1","directional"
"COL4A1","ITGB1","directional"
"COL4A1","ITGB8","directional"
"COL5A3","SDC3","directional"
"CORT","GHSR","directional"
"CSF2","CSF3R","directional"
"CTGF","ITGAM","directional"
"CTGF","ITGB2","directional"
"CTGF","LRP6","directional"
"CXCL2","CXCR1","directional"
"CXCL2","XCR1","directional"
"CXCL3","CXCR1","directional"
"CXCL5","CXCR1","directional"
"CYR61","ITGA5","directional"
"CYR61","ITGAM","directional"
"CYR61","ITGB2","directional"
"CYR61","ITGB3","directional"
"DHH","HHIP","directional"
"DHH","PTCH2","directional"
